xsim_p16_q16_s0: 500 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
55              randstim_sigma_stim_A    0.43      1.16  posterior_mean
56              randstim_sigma_stim_B    0.42      1.19  posterior_mean
57                 randstim_cond_diff    0.58      0.95  posterior_mean
58                     randstim_sigma    0.02      1.01  posterior_mean
59                       randstim_b_A    0.15      0.50    posterior_SD
60                       randstim_b_B    0.14      0.50    posterior_SD
61                       randstim_AR1    0.00      0.02    posterior_SD
62                       randstim_AR2    0.00      0.02    posterior_SD
63                    randstim_stim_A    0.36      1.00    posterior_SD
64                    randstim_stim_B    0.35      1.02    posterior_SD
65               randstim_sigma_sub_A    0.03      0.20    posterior_SD
66               randstim_sigma_sub_B    0.02      0.20    posterior_SD
67              randstim_sigma_stim_A    0.14      0.48    posterior_SD
68              randstim_sigma_stim_B    0.14      0.49    posterior_SD
69                 randstim_cond_diff    0.15      0.71    posterior_SD
70                     randstim_sigma    0.00      0.01    posterior_SD
71          b_nipymc_fixstim_stimulus    0.15      0.98  posterior_mean
72                              AR(1)    0.02      0.48  posterior_mean
73                              AR(2)    0.02      0.16  posterior_mean
74     sigma_nipymc_fixstim_subject_0    0.38      0.94  posterior_mean
75     sigma_nipymc_fixstim_subject_1    0.34      0.91  posterior_mean
76           nipymc_fixstim_cond_diff    0.31      0.66  posterior_mean
77                        sigma_y_obs    0.02      1.01  posterior_mean
78          b_nipymc_fixstim_stimulus    0.14      0.99    posterior_SD
79                              AR(1)    0.00      0.02    posterior_SD
80                              AR(2)    0.00      0.02    posterior_SD
81     sigma_nipymc_fixstim_subject_0    0.05      0.22    posterior_SD
82     sigma_nipymc_fixstim_subject_1    0.04      0.21    posterior_SD
83           nipymc_fixstim_cond_diff    0.05      0.27    posterior_SD
84                        sigma_y_obs    0.00      0.01    posterior_SD
85          b_nipymc_nostim_condition    0.25      1.23  posterior_mean
86                              AR(1)    0.03      0.50  posterior_mean
87                              AR(2)    0.02      0.16  posterior_mean
88      sigma_nipymc_nostim_subject_0    0.33      0.80  posterior_mean
89      sigma_nipymc_nostim_subject_1    0.29      0.77  posterior_mean
90            nipymc_nostim_cond_diff    0.49      0.84  posterior_mean
91                        sigma_y_obs    0.02      1.03  posterior_mean
92          b_nipymc_nostim_condition    0.20      0.49    posterior_SD
93                              AR(1)    0.00      0.02    posterior_SD
94                              AR(2)    0.00      0.02    posterior_SD
95      sigma_nipymc_nostim_subject_0    0.03      0.19    posterior_SD
96      sigma_nipymc_nostim_subject_1    0.02      0.19    posterior_SD
97            nipymc_nostim_cond_diff    0.04      0.26    posterior_SD
98                        sigma_y_obs    0.00      0.01    posterior_SD
99        b_nipymc_randstim_condition    0.24      1.16  posterior_mean
100                             AR(1)    0.02      0.47  posterior_mean
101                             AR(2)    0.02      0.16  posterior_mean
102  sigma_nipymc_randstim_stimulus_0    0.38      1.02  posterior_mean
103  sigma_nipymc_randstim_stimulus_1    0.36      1.02  posterior_mean
104   sigma_nipymc_randstim_subject_0    0.33      0.91  posterior_mean
105   sigma_nipymc_randstim_subject_1    0.30      0.89  posterior_mean
106         nipymc_randstim_cond_diff    0.44      0.78  posterior_mean
107                       sigma_y_obs    0.02      1.01  posterior_mean
108       b_nipymc_randstim_condition    0.14      0.59    posterior_SD
109                             AR(1)    0.00      0.02    posterior_SD
110                             AR(2)    0.00      0.02    posterior_SD
111  sigma_nipymc_randstim_stimulus_0    0.10      0.38    posterior_SD
112  sigma_nipymc_randstim_stimulus_1    0.09      0.38    posterior_SD
113   sigma_nipymc_randstim_subject_0    0.03      0.19    posterior_SD
114   sigma_nipymc_randstim_subject_1    0.02      0.19    posterior_SD
115         nipymc_randstim_cond_diff    0.10      0.58    posterior_SD
116                       sigma_y_obs    0.00      0.01    posterior_SD

xsim_p32_q16_s2: 500 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
0                       SPM_cond_diff    3.23      3.37  test_statistic
1                   fixstim_cond_diff    3.25      3.20  test_statistic
2                    nostim_cond_diff    3.15      3.04  test_statistic
3                  randstim_cond_diff    0.90      0.80  test_statistic
4            nipymc_fixstim_cond_diff    1.98      2.51  test_statistic
5             nipymc_nostim_cond_diff    3.06      3.09  test_statistic
6           nipymc_randstim_cond_diff    0.81      0.74  test_statistic
7                       SPM_cond_diff    0.98      0.96  posterior_mean
8                          SPM_A_mean    0.67      0.87  posterior_mean
9                          SPM_B_mean    0.71      1.83  posterior_mean
10                            SPM_AR1    0.04      0.53  posterior_mean
11                            SPM_AR2    0.02      0.10  posterior_mean
12                      SPM_cond_diff    0.09      0.31    posterior_SD
13                         SPM_A_mean    0.09      0.20    posterior_SD
14                         SPM_B_mean    0.07      0.21    posterior_SD
15                            SPM_AR1    0.00      0.03    posterior_SD
16                            SPM_AR2    0.00      0.02    posterior_SD
17                          fixstim_b    0.48      1.38  posterior_mean
18                        fixstim_AR1    0.03      0.50  posterior_mean
19                        fixstim_AR2    0.02      0.15  posterior_mean
20                fixstim_sigma_sub_A    0.63      0.97  posterior_mean
21                fixstim_sigma_sub_B    0.41      0.89  posterior_mean
22                  fixstim_cond_diff    1.00      0.89  posterior_mean
23                      fixstim_sigma    0.02      1.03  posterior_mean
24                          fixstim_b    0.36      1.96    posterior_SD
25                        fixstim_AR1    0.00      0.02    posterior_SD
26                        fixstim_AR2    0.00      0.02    posterior_SD
27                fixstim_sigma_sub_A    0.07      0.20    posterior_SD
28                fixstim_sigma_sub_B    0.04      0.19    posterior_SD
29                  fixstim_cond_diff    0.08      0.31    posterior_SD
30                      fixstim_sigma    0.00      0.01    posterior_SD
31                         nostim_b_A    0.56      0.72  posterior_mean
32                         nostim_b_B    0.58      1.44  posterior_mean
33                         nostim_AR1    0.04      0.58  posterior_mean
34                         nostim_AR2    0.02      0.15  posterior_mean
35                 nostim_sigma_sub_A    0.52      0.68  posterior_mean
36                 nostim_sigma_sub_B    0.35      0.59  posterior_mean
37                   nostim_cond_diff    0.82      0.72  posterior_mean
38                       nostim_sigma    0.03      1.08  posterior_mean
39                         nostim_b_A    0.07      0.18    posterior_SD
40                         nostim_b_B    0.05      0.18    posterior_SD
41                         nostim_AR1    0.00      0.02    posterior_SD
42                         nostim_AR2    0.00      0.02    posterior_SD
43                 nostim_sigma_sub_A    0.06      0.18    posterior_SD
44                 nostim_sigma_sub_B    0.04      0.17    posterior_SD
45                   nostim_cond_diff    0.07      0.25    posterior_SD
46                       nostim_sigma    0.00      0.02    posterior_SD
47                       randstim_b_A    0.71      0.91  posterior_mean
48                       randstim_b_B    0.72      1.81  posterior_mean
49                       randstim_AR1    0.03      0.50  posterior_mean
50                       randstim_AR2    0.02      0.15  posterior_mean
51                    randstim_stim_A    0.15      0.01  posterior_mean
52                    randstim_stim_B    0.15     -0.00  posterior_mean
53               randstim_sigma_sub_A    0.62      0.96  posterior_mean
54               randstim_sigma_sub_B    0.41      0.87  posterior_mean
55              randstim_sigma_stim_A    0.72      2.18  posterior_mean
56              randstim_sigma_stim_B    0.65      2.17  posterior_mean
57                 randstim_cond_diff    1.02      0.90  posterior_mean
58                     randstim_sigma    0.02      1.03  posterior_mean
59                       randstim_b_A    0.28      0.83    posterior_SD
60                       randstim_b_B    0.24      0.82    posterior_SD
61                       randstim_AR1    0.00      0.02    posterior_SD
62                       randstim_AR2    0.00      0.02    posterior_SD
63                    randstim_stim_A    0.61      1.86    posterior_SD
64                    randstim_stim_B    0.56      1.85    posterior_SD
65               randstim_sigma_sub_A    0.06      0.20    posterior_SD
66               randstim_sigma_sub_B    0.04      0.19    posterior_SD
67              randstim_sigma_stim_A    0.24      0.78    posterior_SD
68              randstim_sigma_stim_B    0.21      0.78    posterior_SD
69                 randstim_cond_diff    0.26      1.18    posterior_SD
70                     randstim_sigma    0.00      0.01    posterior_SD
71          b_nipymc_fixstim_stimulus    0.22      0.87  posterior_mean
72                              AR(1)    0.03      0.52  posterior_mean
73                              AR(2)    0.02      0.16  posterior_mean
74     sigma_nipymc_fixstim_subject_0    0.62      0.86  posterior_mean
75     sigma_nipymc_fixstim_subject_1    0.63      0.89  posterior_mean
76           nipymc_fixstim_cond_diff    0.46      0.63  posterior_mean
77                        sigma_y_obs    0.02      1.04  posterior_mean
